Month,ENT,DEV,TD,STR,CMP,CLS,P,E,D,H,U,UC,C,Total,Closed
2021-06-01,0,0,0,0,0,0,43,0,0,0,0,0,0,43,
2021-07-01,19,0,0,0,0,0,24,19,0,0,0,0,0,43,
2021-08-01,0,19,2,2,0,0,24,0,17,0,0,2,0,43,
2021-09-01,0,0,0,0,0,0,24,0,17,0,0,2,0,43,
2021-10-01,0,0,0,0,0,0,24,0,17,0,0,2,0,43,
2021-11-01,0,0,0,0,0,0,24,0,17,0,0,2,0,43,
2021-12-01,0,0,1,1,0,0,24,0,16,0,0,3,0,43,
2022-01-01,0,0,1,0,0,0,24,0,15,0,1,3,0,43,
2022-02-01,0,0,2,1,0,0,24,0,13,0,2,4,0,43,
2022-03-01,0,0,2,1,0,0,24,0,11,0,3,5,0,43,
2022-04-01,0,0,0,3,0,0,24,0,11,0,0,8,0,43,
2022-05-01,0,0,2,1,1,1,24,0,9,0,1,8,0,43,1
2022-06-01,0,0,1,1,2,1,24,0,8,0,1,7,1,43,2
2022-07-01,0,0,2,0,0,0,24,0,6,0,3,7,1,43,2
2022-08-01,0,0,0,2,1,1,24,0,6,0,1,8,1,43,3
2022-09-01,0,0,0,0,0,0,24,0,6,0,1,8,1,43,3
2022-10-01,0,0,1,0,0,1,24,0,5,0,2,8,0,43,4
2022-11-01,0,0,0,1,1,1,24,0,5,0,1,8,0,43,5
2022-12-01,0,0,0,0,3,3,24,0,5,0,1,5,0,43,8
2023-01-01,0,0,0,0,1,1,24,0,5,0,1,4,0,43,9
2023-02-01,0,0,2,0,3,2,24,0,3,0,3,1,1,43,11
2023-03-01,0,0,0,3,0,0,24,0,3,0,0,4,1,43,11
2023-04-01,0,0,1,0,0,0,24,0,2,0,1,4,1,43,11
2023-05-01,0,0,0,1,1,0,24,0,2,0,0,4,2,43,11
2023-06-01,0,0,1,0,0,1,24,0,1,0,1,4,1,43,12
2023-07-01,0,0,1,1,0,0,24,0,0,0,1,5,1,43,12
2023-08-01,0,0,0,0,3,2,24,0,0,0,1,2,2,43,14
2023-09-01,0,0,0,1,0,2,24,0,0,0,0,3,0,43,16
2023-10-01,0,0,0,0,1,1,24,0,0,0,0,2,0,43,17
2023-11-01,0,0,0,0,0,0,24,0,0,0,0,2,0,43,17
2023-12-01,0,0,0,0,1,1,24,0,0,0,0,1,0,43,18
2024-01-01,0,0,0,0,0,0,24,0,0,0,0,1,0,43,18
2024-02-01,0,0,0,0,1,0,24,0,0,0,0,0,1,43,18
2024-03-01,0,0,0,0,0,1,24,0,0,0,0,0,0,43,19
