Development,Lot #,Type,Phase,Source,Status,ENT,DEV,HC,BLDR,DIG,CMP,CLS
Waterton Condos (Pointe),WT00000001,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2023-06-28,2022-12-13,2023-05-22,2024-03-11
Waterton Condos (Pointe),WT00000002,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2023-06-28,2022-12-13,2023-06-14,2024-05-01
Waterton Condos (Pointe),WT00000003,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2023-07-31,2022-12-13,2023-06-14,2024-10-11
Waterton Condos (Pointe),WT00000004,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2023-08-09,2023-08-08,2024-03-08,2024-09-06
Waterton Condos (Pointe),WT00000005,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2023-08-09,2023-08-08,2024-02-23,2024-09-03
Waterton Condos (Pointe),WT00000006,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2023-08-09,2023-08-08,2024-02-23,2024-07-30
Waterton Condos (Pointe),WT00000007,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2023-12-19,2024-01-30,2024-08-09,2024-10-08
Waterton Condos (Pointe),WT00000008,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2023-12-19,2024-01-30,2024-07-31,2024-11-27
Waterton Condos (Pointe),WT00000009,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2023-12-19,2024-01-30,2024-07-31,2025-02-21
Waterton Condos (Pointe),WT00000010,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2024-05-20,2024-05-02,2024-10-17,2025-04-01
Waterton Condos (Pointe),WT00000011,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2024-05-20,2024-05-02,2024-10-01,2024-10-31
Waterton Condos (Pointe),WT00000012,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2023-07-31,2023-04-20,2023-10-09,2024-06-14
Waterton Condos (Pointe),WT00000013,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2023-07-31,2023-04-20,2023-09-29,2024-06-18
Waterton Condos (Pointe),WT00000014,CD,Waterton Pointe ph. 1,real,OUT,2020-09-01,2022-05-30,,2023-07-31,2023-04-20,2023-10-09,2024-03-11
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2027-09-01,2027-09-01,2028-02-12,2028-06-02
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2026-12-01,2026-12-01,2027-05-17,2027-05-22
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2027-11-01,2027-11-01,2028-05-05,2028-10-24
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2027-03-01,2027-03-01,2027-09-05,2027-10-12
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2027-01-01,2027-01-01,2027-07-03,2027-09-14
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2027-03-01,2027-03-01,2027-09-05,2027-12-06
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2027-07-01,2027-07-01,2027-12-24,2028-03-31
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2027-01-01,2027-01-01,2027-07-03,2027-08-15
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2028-01-01,2028-01-01,2028-06-21,2028-09-16
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2028-01-01,2028-01-01,2028-06-21,2028-10-13
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2028-01-01,2028-01-01,2028-06-21,2028-09-07
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2027-09-01,2027-09-01,2028-02-12,2028-03-13
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2026-11-01,2026-11-01,2027-04-20,2027-12-12
Waterton Condos (Pointe),,CD,Waterton Pointe ph. 2,sim,OUT,2020-09-01,2026-10-15,,2027-07-01,2027-07-01,2027-12-24,2028-05-18
