"xPYMid","SchoolDistrict","SchoolDistrictShort","SchoolDistrictQuality","County","Developer","Development","InternalExternal","InternalExternalShort","LotType","LotTypeShort","Builder","BuilderShort","xPJGid","Year","MonthNoMonthShort","MonthNo","Month","MonthShort","DirtStart","LotStart","LotStartSpec","LotStartLot","InventoryStart","SalesPlan","LotsDeveloped","LotsDevelopedToDate","LotsDevelopedFuture","LotsCurrent","SalesPlanLocked","SalesAct","SalesPlanVar","DirtEnd","LotsEnd","LotsEndSpec","LotsEndLot","InventoryEnd","ProjectionGroupStatus"
880,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","JTB Homes","JTB",1,2021,"1-Jan",1,"January","Jan",0,4,1.00,3.00,4,0.00,0.00,0,0,4.00,0.00,0.00,0.00,0.00,4.00,2.00,2.00,4.00,"Sold Out"
505,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2021,"1-Jan",1,"January","Jan",0,5,1.00,4.00,5,1.00,0.00,0,0,4.00,1.00,1.00,0.00,0.00,4.00,1.00,3.00,4.00,"Sold Out"
881,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","JTB Homes","JTB",1,2021,"2-Feb",2,"February","Feb",0,4,2.00,2.00,4,0.00,0.00,0,0,4.00,1.00,0.00,-1.00,0.00,4.00,2.00,2.00,4.00,"Sold Out"
506,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2021,"2-Feb",2,"February","Feb",0,4,1.00,3.00,4,2.00,0.00,0,0,2.00,0.00,2.00,2.00,0.00,2.00,0.00,2.00,2.00,"Sold Out"
882,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","JTB Homes","JTB",1,2021,"3-Mar",3,"March","Mar",0,4,2.00,2.00,4,0.00,0.00,0,0,4.00,0.00,0.00,0.00,0.00,4.00,2.00,2.00,4.00,"Sold Out"
507,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2021,"3-Mar",3,"March","Mar",0,2,0.00,2.00,2,0.00,0.00,0,0,2.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,"Sold Out"
883,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","JTB Homes","JTB",1,2021,"4-Apr",4,"April","Apr",0,4,2.00,2.00,4,1.00,0.00,0,0,3.00,1.00,1.00,0.00,0.00,3.00,1.00,2.00,3.00,"Sold Out"
508,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2021,"4-Apr",4,"April","Apr",0,2,0.00,2.00,2,0.00,0.00,0,0,2.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,"Sold Out"
884,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","JTB Homes","JTB",1,2021,"5-May",5,"May","May",0,3,1.00,2.00,3,0.00,0.00,0,0,3.00,1.00,0.00,-1.00,0.00,3.00,1.00,2.00,3.00,"Sold Out"
509,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2021,"5-May",5,"May","May",0,2,0.00,2.00,2,0.00,0.00,0,0,2.00,1.00,0.00,-1.00,0.00,2.00,0.00,2.00,2.00,"Sold Out"
885,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","JTB Homes","JTB",1,2021,"6-Jun",6,"June","Jun",0,3,1.00,2.00,3,0.00,0.00,0,0,3.00,0.00,0.00,0.00,0.00,3.00,1.00,2.00,3.00,"Sold Out"
510,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2021,"6-Jun",6,"June","Jun",0,2,0.00,2.00,2,1.00,0.00,0,0,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
