"xPYMid","FKxPYMxPJGprojectionGroup","FKxPYMzMNTmonth","FKxPYMeENTbuilder","xPYMyear","Rep_YearID","Prior_Year_ID","xPYMdirtStartMan","xPYMdirtStartCalc","xPYMdirtStart","xPYMlotStartMan","xPYMlotStartCalc","xPYMlotStart","xPYMinvStart","xPYMsalesGoalLock","xPYMsalesGoal","xPYMsalesPlanLock","xPYMsalesPlan","xPYMsalesAct","xPYMsalesSupp","xPYMlotsDevPlanLock","xPYMlotsDevPlan","xPYMlotsDevAct","xPYMlotsDevSupp","xPYMdirtEndMan","xPYMdirtEndCal","xPYMdirtEnd","Expr1027","xPYMlotsEndCal","xPYMlotsEndMan","xPYMlotsEnd","xPYMlotsEndCalcSpec","xPYMlotsEndCalcAvail","xPYMinvEnd","xPYMclosingsGoalLock","xPYMclosingsGoal","xPYMclosingsPlanLock","xPYMclosingsPlan","xPYMclosingsAct","xPYMdigPlanLock","xPYMdigPlan","xPYMdigAct","xPYMtdownPlanLock","xPYMtdownPlan","xPYMtdownAct","xPYMtdownReqCP","xPYMstartsPlanLock","xPYMstartsPlan","xPYMstartsAct","xPYMlotRevA","xPYMhomeRevA","xPYMinvEndINT","xPYMinvEndEXT"
29529,100,1,189,2024,"100-189-2024-01","100-189-2023-12",,,0,,,0,0,,,,,,,,,,,,0.00,0.00,,0.00,,"0",0,0,0.00,,,,,,,,,,,,,,,,,,0.00,0.00
29530,100,2,189,2024,"100-189-2024-02","100-189-2024-01",,0,0,,0,0,0,,,,,,,,,,,,0.00,0.00,,0.00,,"0",0,0,0.00,,,,,,,,,,,,,,,,,,0.00,0.00
29528,100,3,189,2024,"100-189-2024-03","100-189-2024-02",,0,0,,0,0,0,,,,,,,,,,,,0.00,0.00,,0.00,,"0",0,0,0.00,,,,,,,,,,,,,,,,,,0.00,0.00
29527,100,4,189,2024,"100-189-2024-04","100-189-2024-03",,0,0,,0,0,0,,,,,,,,,,,,0.00,0.00,,0.00,,"0",0,0,0.00,,,,,,,,,,,,,,,,,,0.00,0.00
29526,100,5,189,2024,"100-189-2024-05","100-189-2024-04",,0,0,,0,0,0,,,,,,,,,,,,0.00,0.00,,0.00,,"0",0,0,0.00,,,,,,,,,,,,,,,,,,0.00,0.00
29525,100,6,189,2024,"100-189-2024-06","100-189-2024-05",,0,0,,0,0,0,,,,,,,,,,,,0.00,0.00,,0.00,,"0",0,0,0.00,,,,,,,,,,,,,,,,,,0.00,0.00
29524,100,7,189,2024,"100-189-2024-07","100-189-2024-06",,0,0,,0,0,0,,,,,,,,,,,,0.00,0.00,,0.00,,"0",0,0,0.00,,,,,,,,,,,,,,,,,,0.00,0.00
29519,100,8,189,2024,"100-189-2024-08","100-189-2024-07",,0,0,,0,0,0,,,,,,,,,,,,0.00,0.00,,0.00,,"0",0,0,0.00,,,,,,,,,,,,,,,,,,0.00,0.00
29523,100,9,189,2024,"100-189-2024-09","100-189-2024-08",,0,0,,0,0,0,,,,,,,,,,,,0.00,0.00,,0.00,,"0",0,0,0.00,,,,,,,,,,,,,,,,,,0.00,0.00
29522,100,10,189,2024,"100-189-2024-10","100-189-2024-09",,0,0,,0,0,0,,,,,,,,,,,,0.00,0.00,,0.00,,"0",0,0,0.00,,,,,,,,,,,,,,,,,,0.00,0.00
29521,100,11,189,2024,"100-189-2024-11","100-189-2024-10",,0,0,34,0,34,34,,,,,,,,,,,,0.00,0.00,,34.00,,"34",6,28,34.00,,,,,,,,,,,,,,,7,,,0.00,34.00
29520,100,12,189,2024,"100-189-2024-12","100-189-2024-11",,0,0,,34,34,34,,,,,,,,,,,,0.00,0.00,,34.00,,"34",6,28,34.00,,,,,,,,,,,,,,,,,,0.00,34.00
29541,100,1,189,2025,"100-189-2025-01","100-189-2024-12",,0,0,,34,34,34,,,,,,,,,,,,0.00,0.00,,34.00,,"34",6,28,34.00,,,,,,,,,,,,,,,,,,0.00,34.00
29542,100,2,189,2025,"100-189-2025-02","100-189-2025-01",,0,0,,34,34,34,,,,,,,,,,,,0.00,0.00,,34.00,,"34",6,28,34.00,,,,,,,,,,,,,,,,,,0.00,34.00
