"COMPANYCODE","DEVELOPMENTCODE","LOTNUMBER","TAXBLOCK","TAXLOT","ADDRESS1","ADDRESS2","ADDRESS3","LOTCONTRACTDATE","LOTCONVERDATE","RELEASESALESDATE","LOTCOMMENTS","SELLERNAME","SELLERADDRESS1","SELLERADDRESS2","SELLERCITY","SELLERSTATE","SELLERZIP","SELLERCOUNTRY","SELLERPHONE","SELLEREMAIL","OPTIONEXPDATE","ORIENTATION","LOTPREMIUM","MISC1_FIELD","MISC2_FIELD"
"001","43","00000002","","2","8877 Lapham Dr","Hudsonville","Kent",,6/22/2021 0:00:00,5/27/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000026","","26","8860 Lapham Dr","Rockford, Mi","49341",,10/5/2021 0:00:00,6/18/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000027","","27","8850 Lapham Dr","Rockford, MI","49341",,,11/14/2021 0:00:00,"","","","","","","","US","","",," ","25100","",""
"001","43","00000028","","28","8842 Lapham Dr","Rockford, MI","49341",,10/27/2021 0:00:00,6/18/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000029","","29","8824 Lapham Dr","Rockford, MI","49341",,12/20/2021 0:00:00,6/18/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000030","","30","8826 Lapham Dr","Rockford, MI","49341",,1/27/2022 0:00:00,6/18/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000031","","31","8818 Lapham Dr","Rockford, MI","49341",,2/15/2023 0:00:00,6/18/2021 0:00:00,"","","","","","","","US","","",," ","20100","",""
"001","43","00000032","","32","8810 Lapham Dr","Rockford, Mi","49341",,1/10/2022 0:00:00,6/18/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000033","","33","8802 Lapham Dr","Rockford, MI","49341",,4/27/2022 0:00:00,6/18/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000034","","34","8794 Lapham Dr","Rockford, MI","49341",,3/28/2022 0:00:00,6/18/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000035","","35","8786 Lapham Dr","Rockford, MI","49341",,12/9/2022 0:00:00,6/18/2021 0:00:00,"","","","","","","","US","","",," ","45000","",""
"001","43","00000036","","36","8791 Lapham Dr","Rockford, MI","49341",,5/5/2022 0:00:00,6/18/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000037","","37","8815 Lapham Dr","Rockford, MI","49341",,10/27/2021 0:00:00,6/18/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000038","","38","8821 Lapham Dr","Rockford, Mi","49341",,1/18/2022 0:00:00,6/18/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000039","","39","8839 Lapham Dr","Rockford, MI","49341",,1/25/2022 0:00:00,6/18/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000040","","40","3275 Lapham Ct","Rockford, Mi","49341",,6/18/2021 0:00:00,5/27/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000041","","41","3278 Lapham Ct","Rockford, MI","49341",,12/9/2021 0:00:00,9/10/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","43","00000042","","42","3270 Lapham Ct","Rockford, MI","49341",,3/17/2023 0:00:00,9/10/2021 0:00:00,"","","","","","","","US","","",," ","30100","",""
